21,19,3,1,6,10,7,9
22,17,0,1,7,9,5,11
14,12,0,1,7,5,11,5
11,15,2,3,6,4,5,3
18,16,1,4,7,7,9,5
15,14,0,1,4,9,8,10
18,9,2,0,7,5,11,9
22,9,0,1,4,6,9,13
8,11,2,0,8,7,7,4
14,23,2,1,7,7,4,11
14,18,0,2,6,12,7,10
18,12,0,0,9,6,14,8
14,22,1,1,5,10,8,10
13,13,1,1,6,5,12,8
16,10,0,1,3,11,9,7
10,12,0,1,11,13,7,12
13,10,0,1,7,7,6,7
11,13,0,0,7,8,7,8
11,12,1,1,4,7,11,13
10,12,0,0,7,6,5,6
12,18,0,1,4,12,8,11
7,16,0,0,9,3,4,8
14,18,0,0,4,8,5,8
18,12,2,2,4,9,12,5
13,16,1,0,7,3,6,8
3,9,0,1,2,14,9,9
10,8,2,0,5,12,10,8
11,18,1,1,7,11,10,7
16,17,2,1,9,14,6,5
20,13,0,0,4,11,8,6
13,20,1,0,6,10,4,14
13,14,2,0,4,3,10,9
22,10,1,2,2,9,3,5
15,6,1,0,5,6,9,13
22,14,2,1,4,11,9,6
15,22,0,1,6,10,10,9
14,13,0,0,0,2,5,6
24,22,0,3,4,6,6,13
12,18,1,0,5,9,7,9
11,20,2,0,6,13,10,5
19,17,1,0,4,8,7,10
7,16,3,2,6,9,6,6
19,17,3,0,5,9,8,9
13,19,0,0,7,12,6,17
19,10,0,0,7,8,4,8
17,14,2,0,3,7,5,11
20,10,1,1,8,8,11,7
15,15,1,0,6,7,11,10
21,18,2,2,7,8,10,4
15,15,2,0,4,7,11,7
13,12,0,2,8,8,4,4
12,11,2,2,5,4,5,1
17,14,0,4,6,6,9,6
16,11,0,0,8,10,8,8
8,9,0,0,3,12,6,5
11,23,0,1,6,14,8,6
15,16,1,1,8,10,10,13
11,16,0,3,7,7,4,9
14,12,0,0,6,9,15,10
16,14,1,0,4,9,8,6
12,19,3,0,5,11,10,5
12,14,1,1,10,11,9,8
19,11,1,1,6,8,9,7
12,14,1,0,8,7,4,9
15,15,0,2,7,12,9,9
13,14,2,1,8,7,4,10
10,14,1,0,5,12,6,13
19,12,0,0,6,10,11,10
11,17,0,1,1,12,7,5
13,19,1,0,7,10,5,6
16,12,1,1,6,8,5,6
12,18,1,0,9,7,7,10
18,8,0,0,6,12,14,6
16,18,1,2,9,7,8,8
19,13,2,1,5,5,7,9
15,17,1,0,6,9,6,7
11,11,2,1,10,12,6,7
19,19,0,0,6,3,4,7
17,15,1,2,5,14,5,5
14,16,1,2,6,6,3,11
6,17,3,0,6,7,7,10
13,17,4,1,5,12,12,9
14,14,0,1,12,12,19,9
21,16,0,1,3,8,11,3
15,10,0,0,10,9,9,14
11,14,0,0,3,8,9,6
14,7,2,2,5,9,9,11
14,18,1,1,8,11,8,7
10,20,0,1,6,10,11,5
20,13,0,0,4,7,8,9
15,18,2,0,8,10,10,5
23,16,1,1,6,11,7,7
16,11,0,1,10,14,11,8
15,16,4,1,6,8,13,10
17,21,1,3,3,6,6,7
6,15,1,1,9,10,2,8
12,18,1,0,8,6,11,6
15,14,0,1,11,7,12,5
14,13,1,1,5,12,6,17
11,14,0,0,6,9,7,5
18,16,2,1,4,5,4,6
9,18,4,0,4,7,8,8
18,18,2,4,7,12,4,11
17,10,1,0,2,12,14,7
14,17,0,1,9,11,7,7
20,15,2,2,8,7,10,13
10,14,4,2,3,7,7,6
5,19,0,1,9,7,13,11
15,15,0,1,8,12,15,6
11,23,2,0,8,13,8,9
12,18,1,0,7,4,5,9
17,17,1,0,5,7,4,11
21,6,0,0,4,15,10,3
23,15,0,3,2,6,2,6
21,19,1,0,13,6,6,4
16,12,1,1,5,6,7,15
14,16,0,1,8,10,8,8
13,19,2,4,10,8,7,8
11,13,2,2,6,9,4,10
18,15,2,0,7,5,14,5
12,10,2,1,8,11,7,6
16,13,0,2,5,10,8,6
7,16,1,1,12,11,10,7
22,11,1,0,12,6,10,9
17,11,0,0,8,9,5,10
20,10,1,0,6,11,9,9
18,20,0,1,11,13,10,9
20,17,0,1,5,9,2,13
11,15,1,1,3,8,12,11
13,11,0,0,6,11,6,13
14,10,1,0,5,11,3,7
13,10,0,1,12,6,7,8
14,11,2,1,5,9,11,4
14,16,0,0,6,7,17,8
8,16,1,0,8,5,8,6
9,14,0,1,11,13,9,3
17,16,0,1,6,6,7,5
20,20,2,3,4,2,9,9
12,12,2,0,4,12,8,6
18,23,0,2,1,3,12,4
20,16,1,2,3,4,10,8
16,19,2,2,10,8,4,6
17,9,0,0,4,11,8,14
12,10,0,0,5,1,7,18
13,17,2,1,4,6,10,7
11,15,0,0,3,7,4,7
18,15,1,0,2,4,11,8
14,15,2,0,5,14,12,6
18,11,3,2,3,7,3,12
15,14,1,0,5,9,10,9
12,21,0,1,3,8,10,10
12,11,0,3,7,7,8,10
15,13,0,2,3,6,9,13
18,12,2,1,8,6,7,10
15,17,0,1,4,14,6,4
11,13,2,0,9,11,5,8
18,11,0,2,9,8,3,7
13,15,3,0,6,8,10,14
23,20,0,0,4,6,6,6
20,15,1,0,9,2,7,5
11,12,1,2,6,5,11,5
18,15,0,2,3,7,6,5
17,7,0,0,6,16,14,5
21,15,1,0,7,10,7,7
12,16,0,1,7,8,6,9
13,20,0,0,6,11,6,9
22,17,0,1,4,5,8,11
13,21,1,3,6,7,9,11
9,17,0,1,5,7,6,7
17,9,1,0,7,7,5,9
21,16,2,0,7,5,8,9
12,16,0,0,2,7,6,4
19,9,2,0,9,7,8,9
15,20,0,0,6,13,13,9
16,19,2,2,4,8,6,6
12,13,0,0,8,10,11,10
9,16,0,1,7,11,4,12
15,10,0,0,4,6,8,7
16,13,0,0,7,7,3,6
17,19,0,2,6,7,16,11
13,16,1,3,9,11,7,8
12,16,1,0,3,14,7,6
13,20,2,2,3,15,5,9
10,19,0,2,6,7,7,13
14,23,0,4,9,10,11,8
8,14,1,2,1,12,9,8
13,14,1,2,8,3,11,5
16,15,1,1,8,12,10,9
15,10,1,0,4,7,4,6
11,13,3,1,2,6,6,7
10,12,1,0,2,7,5,8
19,19,2,0,4,9,8,8
16,16,2,3,8,9,7,5
12,17,1,1,4,9,11,13
12,15,2,2,9,10,7,6
22,17,3,0,4,8,14,11
17,23,0,1,7,11,7,5
15,15,0,0,2,5,6,11
16,15,0,1,6,11,4,5
12,17,4,2,3,8,8,4
11,9,2,1,3,10,9,8
13,13,0,0,4,6,10,6
12,12,0,2,6,5,11,9
13,9,1,1,3,4,13,6
18,13,2,0,1,11,8,12
11,13,0,0,10,8,7,6
13,12,1,0,6,9,10,7
10,22,1,0,7,8,9,11
8,19,2,0,6,8,6,11
13,8,0,1,11,11,10,7
22,16,2,1,7,10,12,13
20,12,0,0,4,6,5,3
13,15,2,0,5,8,9,14
12,12,0,1,8,1,7,7
21,15,2,0,7,6,8,6
12,20,2,1,6,6,6,6
13,17,0,2,7,15,9,3
20,17,0,2,5,2,8,4
12,16,2,2,6,11,11,7
25,11,1,3,3,4,5,5
19,12,0,0,10,9,8,7
18,11,0,4,3,7,13,6
22,14,1,0,7,8,5,10
26,22,1,2,6,6,5,9
16,22,2,3,5,7,6,8
10,16,1,2,5,3,10,12
20,19,0,0,5,13,7,5
12,18,0,1,5,5,5,8
14,19,0,0,5,11,6,6
27,14,2,0,5,6,8,8
14,15,0,0,5,10,9,14
18,10,1,0,7,11,8,13
13,16,0,0,9,7,10,10
18,15,1,0,6,8,10,10
10,17,0,2,6,12,5,5
11,20,0,0,4,9,7,6
12,16,1,1,5,5,9,3
18,18,0,2,5,9,6,8
15,15,2,1,1,12,12,3
12,13,4,1,6,8,10,19
8,16,2,1,6,5,5,4
13,12,2,0,3,7,9,6
17,16,2,3,5,13,10,8
8,18,1,0,6,13,6,4
12,16,0,1,7,9,5,8
14,13,2,2,5,4,7,8
21,14,2,0,8,4,4,7
8,9,1,1,5,8,11,6
11,21,1,3,4,12,10,9
11,12,1,1,7,14,10,2
13,13,2,3,8,7,11,9
13,10,5,0,3,12,11,12
10,18,0,0,5,5,11,7
18,9,1,0,5,9,10,9
22,10,1,2,8,7,9,8
10,16,3,0,3,10,9,14
8,15,1,1,5,8,9,8
12,22,2,0,9,6,11,8
12,13,2,2,7,9,3,11
14,11,0,1,6,9,9,9
12,17,4,0,5,12,8,3
15,11,0,0,5,7,6,10
19,17,1,0,6,12,7,6
10,13,2,2,4,8,4,13
12,12,0,3,7,8,6,11
15,18,3,1,7,10,8,7
11,11,0,1,5,4,7,12
15,17,0,1,5,9,8,5
9,21,1,2,8,5,10,10
14,16,0,1,7,13,8,10
20,20,1,1,4,9,8,6
8,13,0,0,8,8,11,11
12,18,1,2,7,11,8,6
21,13,0,0,5,3,8,10
17,14,0,1,4,5,6,10
8,6,3,1,4,11,7,12
18,18,0,2,5,5,10,6
17,10,0,0,5,3,9,7
21,16,1,1,9,11,8,5
23,16,0,1,9,7,7,5
9,11,0,1,7,8,4,8
12,12,1,0,8,8,8,8
7,15,0,0,7,2,13,14
13,14,0,0,5,9,7,13
17,20,0,1,8,7,9,5
19,12,2,0,5,10,6,6
18,7,2,0,6,9,10,11
19,10,0,2,6,13,8,8
7,9,0,0,4,7,10,6
24,14,0,2,4,9,13,14
13,12,0,1,7,11,8,14
19,15,1,0,6,8,7,7
17,15,1,0,11,12,12,8
19,17,1,2,0,8,7,4
21,13,2,0,4,5,6,8
16,19,2,2,7,9,6,9
18,18,0,0,5,7,7,9
19,22,0,1,6,7,7,7
16,18,2,2,8,8,8,7
18,15,2,3,5,7,7,4
20,17,2,0,8,8,9,8
13,19,1,0,10,11,5,8
8,12,2,0,7,10,8,9
18,17,3,1,5,13,12,11
13,16,1,0,8,11,5,7
15,8,0,0,1,9,5,9
19,11,1,1,6,15,6,5
11,19,2,0,3,3,3,2
15,8,0,2,8,10,5,17
14,11,0,1,4,6,5,10
15,21,0,0,4,6,9,9
7,12,0,1,3,6,10,8
9,8,2,0,5,4,10,10
12,18,1,1,11,13,9,6
15,17,1,0,4,6,10,11
23,16,1,2,5,6,10,5
11,9,0,0,7,6,8,7
