17,10,0,0,2,0,0,0
18,7,4,0,2,2,4,1
18,16,0,2,0,2,0,2
29,14,0,0,0,1,0,0
25,10,1,2,0,1,1,0
16,14,0,1,4,3,2,0
19,10,3,1,1,0,1,2
20,8,1,1,2,1,0,1
18,14,0,2,3,0,0,1
17,14,0,2,1,1,0,0
10,15,0,0,2,3,2,0
26,7,1,0,1,0,0,1
21,10,2,2,0,0,0,0
22,7,1,1,0,1,2,1
22,13,1,1,0,1,1,0
16,16,3,2,1,0,1,1
18,4,1,0,0,0,2,1
21,14,2,2,2,0,1,1
20,12,2,0,1,1,1,1
28,7,1,0,0,2,1,2
21,8,1,1,0,1,1,3
24,8,1,0,1,0,2,1
21,8,0,3,0,0,1,0
19,6,1,1,1,1,2,2
23,10,1,1,2,2,0,1
27,10,0,1,1,1,1,3
22,12,1,1,1,1,3,0
24,16,0,0,0,1,2,0
16,10,2,0,2,0,1,0
12,8,1,2,1,1,2,0
18,8,0,1,3,1,0,0
22,10,0,2,0,1,1,0
21,11,0,0,0,3,0,1
19,13,2,0,1,0,0,1
17,4,1,2,1,2,3,3
22,10,2,1,1,0,0,1
24,9,0,0,1,0,1,1
19,6,1,1,1,2,2,1
19,12,1,1,2,0,0,0
23,3,1,1,0,1,0,1
15,8,1,1,2,0,3,1
15,13,0,3,0,1,1,0
24,10,0,2,2,2,3,3
13,13,0,1,0,0,0,2
20,13,2,2,0,3,3,1
16,11,1,1,0,1,0,1
28,13,0,1,0,0,1,2
14,10,3,1,1,2,2,1
15,8,1,0,1,0,2,1
15,10,0,1,1,0,2,0
18,11,2,1,2,1,1,1
20,15,1,2,0,0,2,3
17,4,2,0,0,1,0,0
21,10,1,0,1,0,1,0
13,10,2,1,0,0,1,1
15,18,0,1,0,2,1,0
18,12,0,3,0,2,0,0
21,9,1,0,1,1,0,0
20,15,0,0,1,0,0,0
25,13,2,1,1,3,1,1
20,5,3,1,2,1,1,1
22,9,1,1,0,0,2,0
29,7,1,1,1,3,2,1
20,8,3,0,1,1,0,0
29,8,1,0,1,0,1,1
17,9,1,2,3,1,2,0
17,6,2,1,1,1,2,2
19,7,2,0,0,1,1,1
32,7,1,1,0,0,0,1
21,10,0,0,1,0,1,1
27,10,1,0,0,0,0,2
20,15,1,0,1,0,1,2
19,12,2,0,3,1,1,4
18,6,2,0,4,0,0,1
24,6,1,0,2,0,2,3
17,5,0,0,0,1,1,2
22,8,1,2,0,0,0,1
19,5,1,0,0,1,0,2
19,13,3,0,0,0,0,0
20,8,0,0,1,0,0,0
8,13,0,0,0,0,2,0
22,20,0,1,0,1,1,3
28,10,3,0,0,2,2,0
26,12,3,1,1,0,0,0
19,6,0,1,1,0,2,2
14,8,2,1,2,0,0,2
22,8,2,1,1,3,2,1
20,12,1,0,0,2,0,0
28,9,0,0,0,1,1,1
15,8,1,4,1,1,0,2
22,8,1,1,0,2,1,0
18,9,1,1,1,0,1,1
20,6,0,1,0,3,0,0
17,10,0,0,2,3,0,3
18,6,1,2,2,0,1,2
14,12,4,1,1,0,1,0
19,6,1,1,1,2,1,0
23,11,1,4,1,0,1,2
22,11,3,0,1,1,0,1
25,6,2,1,1,1,0,2
22,9,0,2,0,0,1,0
19,10,1,1,2,1,0,0
19,16,2,0,0,1,1,0
18,9,0,2,2,1,0,0
15,8,2,1,1,1,0,3
19,9,1,0,0,1,1,1
20,10,1,0,1,0,3,1
18,10,1,0,0,0,2,1
22,15,2,2,1,0,1,0
19,11,0,0,0,0,2,1
26,9,1,1,1,0,2,1
15,10,2,0,1,2,3,2
8,17,1,0,2,1,0,1
21,12,0,1,1,2,0,2
26,12,1,1,0,0,1,1
20,7,1,2,0,2,1,1
10,13,2,3,5,0,0,2
19,8,1,1,0,3,4,2
22,12,1,1,1,0,0,2
22,14,2,1,3,0,3,1
20,8,0,0,2,1,0,2
18,16,0,0,1,2,0,2
20,3,1,1,3,0,0,0
17,9,2,0,2,0,0,1
25,15,1,1,0,0,3,1
23,11,1,1,3,1,2,2
22,8,1,2,1,1,1,1
21,12,0,2,1,1,2,0
15,9,2,0,0,0,0,1
19,11,0,0,1,1,1,0
21,6,0,0,0,0,0,0
12,9,2,1,2,0,1,0
23,12,0,0,2,4,3,1
21,8,2,0,1,1,0,3
8,5,1,3,1,1,3,0
19,9,0,0,0,1,2,2
21,12,1,0,2,1,2,1
25,7,1,1,0,1,2,1
17,10,0,0,0,1,1,2
13,13,0,0,0,2,2,1
19,8,1,1,1,3,1,0
